learner,target_overlap,n,coverage,mc_bias,mc_se,median_kappa_star,avg_rmse_m,avg_rmse_l,n_reps,bias_to_se_ratio,Q
Oracle,0.9,2000,1.0,-0.010810289217738522,0.037945227302058356,1.2050261799266149,0.0,0.0,5,0.2848919346742749,0.0
Oracle,0.9,5000,1.0,-0.015290672799944338,0.033119870566797244,1.2100591415580972,0.0,0.0,5,0.46167670761591917,0.0
Oracle,0.95,1000,1.0,0.015912486877189158,0.07106572908924089,1.1813486883195148,0.0,0.0,5,0.22391224407487653,0.0
Oracle,0.95,2000,1.0,0.02308190337452709,0.02609849138656828,1.1940177863188817,0.0,0.0,5,0.8844152342999531,0.0
Oracle,0.95,5000,0.8,0.02022652373025524,0.035711423354069204,1.2065301908700798,0.0,0.0,5,0.5663880582332066,0.0
Oracle,0.99,1000,0.8,-0.020432165003068548,0.0848856957216688,1.191179348855714,0.0,0.0,5,0.24070209744246487,0.0
Oracle,0.99,2000,1.0,-0.01016071123668727,0.0410006638908791,1.1650761406634538,0.0,0.0,5,0.24781821249844677,0.0
Oracle,0.99,5000,1.0,-0.005250600756518176,0.03419450781871598,1.1691800234968404,0.0,0.0,5,0.15355099667918945,0.0
RF_Tuned,0.6,1000,1.0,-0.043642852100875706,0.10898039036995037,1.1719503783042362,0.14064362817420356,0.7424949476627574,5,0.40046518417417537,0.37871805105229855
RF_Tuned,0.6,2000,1.0,0.0174933066564944,0.06326305709320601,1.21796765929113,0.11791855580223623,0.729924333761051,5,0.2765169351636194,0.3573269344117235
RF_Tuned,0.6,5000,0.8,-0.017346201367356984,0.03346475340717145,1.2298744890617987,0.10482488444261255,0.6044607645276285,5,0.5183424230354471,0.3095829593198493
RF_Tuned,0.7,1000,1.0,0.003138370559913728,0.08661859738919067,1.1655972889228507,0.13592575490996292,0.7710416140763092,5,0.0362320639505688,0.37734475216777114
RF_Tuned,0.7,2000,1.0,-0.004486604058861365,0.021905125510092494,1.1652490153200252,0.12427048808179397,0.7226009529259614,5,0.20481982889320688,0.3491821314383947
RF_Tuned,0.7,5000,1.0,-9.611012934751528e-05,0.02932863830529467,1.2072500400115633,0.10225043544213819,0.6070093711159422,5,0.0032770061926183807,0.3007651478037311
RF_Tuned,0.8,1000,0.8,-0.09849149798251167,0.07187759771880009,1.121815025706765,0.13592669221467782,0.6462048377964501,5,1.370266969241663,0.3324747969311708
RF_Tuned,0.8,2000,0.6,-0.05206917471799599,0.07836451673634576,1.1753462902610916,0.11618647983386463,0.7110204492530934,5,0.6644483611527986,0.3378194756742309
RF_Tuned,0.8,5000,1.0,-0.02115355842124167,0.03908275078108998,1.1911693097876612,0.09951774247316957,0.5952894247248238,5,0.541250500501534,0.2899264493628403
RF_Tuned,0.9,1000,1.0,0.021971790881453845,0.05426890023151851,1.0951722023166617,0.12603283824089764,0.6844523007104171,5,0.4048689173305373,0.3216591160544025
RF_Tuned,0.9,2000,1.0,-0.044487938283402806,0.02126356612592639,1.1716527726251793,0.10976057671394016,0.7240575786050429,5,2.0922143548235423,0.3303000706026879
RF_Tuned,0.9,5000,1.0,-0.003598944398210291,0.02646010485898999,1.1628004164593904,0.0948210120492456,0.5982004974966774,5,0.13601398850796795,0.27693691932246794
RF_Tuned,0.95,1000,0.8,0.021213968238293246,0.11673338472461829,1.0940268388959196,0.12337210018989657,0.7626051103586076,5,0.18173008765520154,0.33557245942994307
RF_Tuned,0.95,2000,1.0,0.012450689615352228,0.06286472434527982,1.1225684993357687,0.1106547705915463,0.7207218113735634,5,0.19805526461816236,0.31701641833756844
RF_Tuned,0.95,5000,1.0,0.007847789829312557,0.01638147900901308,1.1403638001168868,0.09533376697214124,0.5450720018688104,5,0.4790647917074342,0.25995234338347606
RF_Tuned,0.99,1000,1.0,-0.02158828472693064,0.09965753422503949,1.0769160170295655,0.12340600620549877,0.8153897359796913,5,0.2166247127706524,0.3416115966183599
RF_Tuned,0.99,2000,1.0,-0.003458528560494001,0.036543024618977744,1.1053695369820555,0.1062322633523503,0.7102969477541569,5,0.09464264648465626,0.3036376930481201
RF_Tuned,0.99,5000,0.8,-0.01768348987042534,0.0526448942254604,1.1201390534669318,0.09029596301914702,0.5982328449201836,5,0.3359013277658588,0.2603401992811552
