n,target_r2,sample_r2,learner,replication,theta_hat,se,ci_lower,ci_upper,ci_length,kappa_star,bias,coverage,nuisance_mse_m,nuisance_mse_l,rmse_m,rmse_l
500,0.9,0.9316472946917104,Oracle,4,0.6699112646112798,0.45301170957928816,-0.217991686164125,1.5578142153866845,1.7758059015508096,11.266777028176095,-0.3300887353887202,1,0.0,0.0,0.0,0.0
500,0.9,0.8889994762549959,OLS,0,1.3111819170222974,0.24721789981900003,0.8266348333770573,1.7957290006675373,0.9690941672904799,1.2581561246113095,0.31118191702229736,1,0.06741880351014656,1.2670446728627702,0.25965131139693204,1.1256307888747403
500,0.9,0.9259003723581262,OLS,1,2.0416326270604204,0.23923630007771599,1.572729478908097,2.5105357752127437,0.9378062963046467,1.266510252762636,1.0416326270604204,0,0.06835957929118897,1.581374373542732,0.2614566489710846,1.2575270866039951
500,0.9,0.9006051419674008,OLS,2,1.395023752430695,0.23326368131595385,0.9378269370514254,1.8522205678099646,0.9143936307585392,1.2810232754287514,0.395023752430695,1,0.07028506125758086,1.381410858527291,0.265113298907431,1.17533436031084
500,0.9,0.8447062894671059,OLS,3,1.3519799698646247,0.2388876099277456,0.8837602544062433,1.820199685323006,0.9364394309167627,1.3825837323826196,0.35197996986462465,1,0.06768711204071172,1.3495960788276018,0.26016746922071504,1.1617211708614084
500,0.9,0.9183545539175938,OLS,4,1.6802054644169715,0.3196437324281492,1.053703748857799,2.306707179976144,1.2530034311183451,1.4228745532863012,0.6802054644169715,0,0.06412410326350072,1.873265008972622,0.2532273746329585,1.3686727179909088
500,0.9,0.9191299432815002,Lasso,0,1.7967048040127969,0.2451609419179375,1.3161893578536394,2.2772202501719545,0.9610308923183151,1.2425574590169572,0.7967048040127969,0,0.0702223522159034,1.4235533566085918,0.26499500413385796,1.1931275525309906
500,0.9,0.9056629495306696,Lasso,1,1.8686740876344392,0.30142334276734684,1.2778843358104393,2.459463839458439,1.181579503648,1.3349414135602973,0.8686740876344392,0,0.06737606375844467,2.095111403150628,0.25956899614253753,1.4474499656812418
500,0.9,0.9384943092148516,Lasso,2,1.4266721108313478,0.3157548073770261,0.8077926883723767,2.045551533290319,1.2377588449179424,1.4079636823164983,0.4266721108313478,1,0.07595020772866118,1.6095076075257462,0.275590652469675,1.2686637093910058
500,0.9,0.9071816935409124,Lasso,3,1.6812290387560873,0.2380130092900868,1.2147235405475172,2.1477345369646574,0.9330109964171402,1.3311648639580642,0.6812290387560873,0,0.07828856729859097,1.5998527943279246,0.2798009422760956,1.2648528745778793
500,0.9,0.8800323212440583,Lasso,4,1.157479592939982,0.23991238182365085,0.6872513245656262,1.6277078613143376,0.9404565367487114,1.3751784366545168,0.15747959293998193,1,0.06778985674423373,1.596339393637478,0.2603648531277479,1.2634632537741166
500,0.9,0.9155153730704367,RF_Tuned,0,0.6978754698721953,0.22588485698158192,0.25514115018829475,1.1406097895560958,0.8854686393678011,2.1949067270395255,-0.3021245301278047,1,0.04714740144225801,0.614939981924174,0.21713452383777668,0.7841810900067496
500,0.9,0.8634510118684892,RF_Tuned,1,0.7543733665868527,0.2548259307944393,0.25491454222975163,1.2538321909439538,0.9989176487142022,2.2447500951609927,-0.24562663341314728,1,0.04066200845709852,0.6654281321243346,0.20164822949160383,0.8157377839258977
500,0.9,0.9056430325204936,RF_Tuned,2,0.8496216302790506,0.2501004989875096,0.3594246522635318,1.3398186082945693,0.9803939560310375,2.0599891062462645,-0.15037836972094942,1,0.04439715520390297,0.7533379915721643,0.21070632454651894,0.8679504545607222
500,0.9,0.8968001132914406,RF_Tuned,3,0.9941054762911602,0.2604572704795013,0.4836092261513377,1.5046017264309826,1.020992500279645,2.182434559892899,-0.005894523708839805,1,0.04254996780314778,0.7952255896980598,0.20627643540440527,0.891754220454302
500,0.9,0.8975175671206993,RF_Tuned,4,1.0455281521756445,0.28186942305037116,0.49306408299691706,1.597992221354372,1.104928138357455,2.519004387938399,0.04552815217564454,1,0.03905248006961522,0.7816447490580689,0.197617003493159,0.8841067520713033
500,0.9,0.9162969221794077,MLP,0,0.5448076626506347,0.2555247937692848,0.04397906686283659,1.0456362584384329,1.0016571915755963,1.5227772981676542,-0.45519233734936526,1,0.05902575901134899,0.9460694757596583,0.24295217432932967,0.9726610281900155
500,0.9,0.9386966870112321,MLP,1,0.8427641112103081,0.24111426627789118,0.37018014930564147,1.3153480731149747,0.9451679238093332,2.082997845886962,-0.15723588878969186,1,0.03857546026547572,0.6261386190407261,0.19640636513482887,0.7912892132720666
500,0.9,0.9051058699812596,MLP,2,0.41474330075243443,0.25486501342519047,-0.0847921255609389,0.9142787270658077,0.9990708526267467,1.6018551700176091,-0.5852566992475656,0,0.05844987676900073,0.8808361403086904,0.24176409321692238,0.9385287104338846
500,0.9,0.9164408882209693,MLP,3,0.785665471080754,0.22599913407013855,0.34270716830328246,1.2286237738582255,0.885916605554943,1.8382307460244158,-0.21433452891924598,1,0.04891632949271085,0.4469433317035441,0.22117036305235577,0.6685382051188579
500,0.9,0.8737041061064755,MLP,4,1.1723332161964413,0.20982125095583543,0.7610835643230038,1.5835828680698787,0.8224993037468749,1.6674393284108513,0.17233321619644126,1,0.05547838599308551,0.5141875455754336,0.23553850214579677,0.7170687174709504
500,0.95,0.9364174210353778,Oracle,0,1.0438166939240388,0.5868281615598112,-0.10636650273319126,2.193999890581269,2.3003663933144605,18.976588312629037,0.04381669392403875,1,0.0,0.0,0.0,0.0
500,0.95,0.9394804609045745,Oracle,1,1.5072516396835935,0.643224604811996,0.24653141425208158,2.7679718651151055,2.521440450863024,22.445269353559283,0.5072516396835935,1,0.0,0.0,0.0,0.0
500,0.95,0.9430899068991925,Oracle,2,0.49271203445966677,0.5768156028046428,-0.6378465470374333,1.6232706159567667,2.2611171629942,19.016753927762004,-0.5072879655403333,1,0.0,0.0,0.0,0.0
500,0.95,0.9694252589818169,Oracle,3,1.2034388679725447,0.6201447812939734,-0.012044903363643167,2.4189226393087324,2.4309675426723754,19.206063599650673,0.20343886797254473,1,0.0,0.0,0.0,0.0
500,0.95,0.939207738229338,Oracle,4,0.9130847092394472,0.618913379575808,-0.2999855147291366,2.126154933208031,2.4261404479371675,17.85421506749156,-0.08691529076055282,1,0.0,0.0,0.0,0.0
500,0.95,0.9370210193880875,OLS,0,1.4942831206669096,0.255671254434606,0.9931674619750819,1.9953987793587373,1.0022313173836555,1.2919762585906815,0.4942831206669096,1,0.07241573471946773,1.4453158937203066,0.2691017181652093,1.202212915302571
500,0.95,0.9331768119760253,OLS,1,1.4182698784706695,0.255656947178447,0.9171822620009135,1.9193574949404257,1.0021752329395124,1.4825208813574475,0.41826987847066954,1,0.06500908080657926,1.2804305853628994,0.25496878398458755,1.1315611275414597
500,0.95,0.948918248219177,OLS,2,0.9513119137043906,0.2753390068090359,0.4116474603586803,1.4909763670501008,1.0793289066914205,1.3671547870987175,-0.04868808629560939,1,0.07274429451644183,1.493852581103807,0.2697115023806768,1.2222326215184272
500,0.95,0.9470315531710146,OLS,3,0.8880882315883841,0.25024596286255585,0.3976061443777747,1.3785703187989935,0.9809641744212187,1.4255595933773988,-0.11191176841161588,1,0.07296054123124508,1.3263068966710017,0.2701120901241651,1.1516539830482946
500,0.95,0.9298021970355392,OLS,4,2.06288590271836,0.3017600672434508,1.4714361709211965,2.654335634515524,1.1828994635943273,1.3576770047604865,1.0628859027183601,0,0.06757452757252844,2.217297818411721,0.25995100994712145,1.4890593737026476
500,0.95,0.9492438338293725,Lasso,0,1.2884841619115637,0.2779319117629464,0.7437376148561887,1.8332307089669386,1.08949309411075,1.3866616487271122,0.2884841619115637,1,0.06961994476915365,1.7649943387807498,0.26385591668399944,1.3285308949289625
500,0.95,0.9274565459871821,Lasso,1,1.6232088815430536,0.2624686131135597,1.1087703998404765,2.1376473632456308,1.0288769634051542,1.3340943256271653,0.6232088815430536,0,0.0650600518380162,1.4274106676216969,0.2550687198345109,1.194742929513164
500,0.95,0.9664765217707683,Lasso,2,1.3203993897637558,0.2764831994112256,0.7784923189177536,1.8623064606097581,1.0838141416920046,1.3653743126801297,0.3203993897637558,1,0.06754437534009977,1.7786260999660575,0.25989300748596483,1.333651416212669
500,0.95,0.9684927651409253,Lasso,3,1.3305344454904908,0.2548587135741652,0.8310113668851271,1.8300575240958545,0.9990461572107274,1.2890824758563584,0.3305344454904908,1,0.07745353041419392,1.4873507410233962,0.2783047437867237,1.2195699000153275
500,0.95,0.9188039569171369,Lasso,4,1.6424981895531674,0.25163688380587007,1.149289897293662,2.1357064818126728,0.9864165845190107,1.3899750417171055,0.6424981895531674,0,0.07255038937384384,1.599922885462416,0.26935179482202054,1.2648805815026238
