delta,target_r2,mean_structural_kappa,median_structural_kappa,mean_kappa_star,mean_abs_bias,median_abs_bias,std_abs_bias,mean_bias,coverage,mc_se,mean_se,mean_rmse_m,mean_rmse_l,n_reps,kappa_times_delta,bias_to_se_ratio,regime
0.1,0.75,4.006175915730722,4.0150076317274745,3.890517288884496,0.02367897072752309,0.019916905119043926,0.018238723092308014,0.012550477566472817,0.92,0.027201152630915666,0.028043123354252894,0.14141642201921265,0.33459279543974785,100,0.40150076317274747,0.4613950642741691,well-conditioned
0.1,0.9,10.013946409094308,9.913597090997335,9.164774676592305,0.05240256288317026,0.05171830783915066,0.03460250368586266,0.04146495957499874,0.87,0.04726932989126099,0.047205930531039914,0.1412064629634434,0.3343382596940653,100,0.9913597090997336,0.8772064184194127,moderately ill-conditioned
0.1,0.95,19.963182398105275,19.968380797255726,16.817340950076858,0.08665776530463881,0.077740043685534,0.06259431434828784,0.08309682511879547,0.8,0.06729517107576365,0.06605561852931811,0.14093496533836614,0.33246899985279826,100,1.9968380797255727,1.2348111133448443,moderately ill-conditioned
0.1,0.97,33.41661313519947,33.61905438126803,25.246909664370193,0.13077620061199421,0.11802925221152549,0.07810101536115958,0.12747799257374845,0.66,0.0834275041869536,0.08245771904497115,0.14118755753113385,0.33400515209206183,100,3.361905438126803,1.5280091837349181,severely ill-conditioned
0.1,0.99,100.14107134450626,100.3582914885783,50.461999813753174,0.2818384277679815,0.27850387881920247,0.1157028747856661,0.2813820172914178,0.38,0.11681956817311204,0.1198548074469913,0.14119862441047204,0.333548226108061,100,10.03582914885783,2.4086890723174457,severely ill-conditioned
0.2,0.5,1.995279014384837,1.9995296837700862,1.9208256079783186,0.021308604462256506,0.02125317150130246,0.012355313500020552,0.019663861300488333,0.82,0.014856771297454182,0.017721075440277206,0.28146591179383795,0.6644917100413492,100,0.39990593675401725,1.3235622267307756,well-conditioned
0.2,0.75,4.024013621015635,4.028423635695745,3.5960745252926984,0.06248800230634043,0.06516635855903441,0.028558963120126176,0.06184721734240622,0.4,0.02993478382782006,0.030163986648343178,0.2825789195628987,0.6686125465295655,100,0.8056847271391491,2.06606527370103,well-conditioned
0.2,0.9,9.960705443408186,9.929544780000757,7.331871638626488,0.13863085925204297,0.14704623264430505,0.04300807408256269,0.13863085925204297,0.18,0.043008074082562714,0.049024596073873605,0.28150883994591547,0.6652185162433462,100,1.9859089560001515,3.2233682211836068,moderately ill-conditioned
0.2,0.95,19.980854122867143,19.979690989599654,11.326835485743366,0.22063784617841617,0.2172052069509457,0.061349237996230835,0.22063784617841617,0.06,0.06134923799623084,0.06436905497741865,0.2824566470538288,0.6693121039625974,100,3.995938197919931,3.59642358054996,moderately ill-conditioned
0.2,0.97,33.08771055598673,32.96662483511833,14.461607559277551,0.31303167268114507,0.31471191278247324,0.07374896242505004,0.31303167268114507,0.01,0.07374896242505001,0.07546026980725333,0.28194924024208246,0.6676800705615576,100,6.593324967023666,4.244556972571303,severely ill-conditioned
0.2,0.99,99.21625701123658,99.57168940264097,20.099780635003427,0.4197929388013702,0.4173011140044972,0.09264341576636356,0.4197929388013702,0.0,0.09264341576636353,0.09387229570489496,0.28167254525939767,0.665589443582476,100,19.914337880528194,4.531276565406889,severely ill-conditioned
