learner,target_r2,n,coverage,avg_ci_length,mc_bias,mc_se,avg_kappa_star,median_kappa_star,avg_nuisance_mse_m,avg_nuisance_mse_l,avg_rmse_m,avg_rmse_l,avg_sample_r2,n_reps,bias_to_se_ratio,avg_nuisance_mse,Q
MLP,0.99,2000,1.0,0.8861693962751479,-0.15970681737604786,0.1545881921007943,7.443592476928261,7.725733381181779,0.012800555554822787,0.24789565541102093,0.11262266382468371,0.4975894674355237,0.9886260244196873,5,1.033111359966718,0.13034810548292186,1.8288926034997308
MLP,0.99,5000,1.0,0.8611482728724322,-0.193335396966537,0.14017575074551983,20.1849376404442,20.831481760802763,0.0040877056702628405,0.15597635912042396,0.06380779160481577,0.39474812705285295,0.9900344193991242,5,1.3792356804817485,0.0800320323953434,3.3061081697403325
OLS,0.75,500,1.0,0.8851017321939741,0.1656124886654129,0.15562846646203524,1.251818026097649,1.2604159623474527,0.07394837727831811,1.597227848426437,0.27184097989602346,1.2615917486253156,0.7641530633186413,5,1.064152930568221,0.8355881128523776,0.7381264668683745
OLS,0.75,2000,0.0,0.4443188900272238,0.4002131507244797,0.10693864165034317,1.2715635444559545,1.2721005944194443,0.07195123563124002,1.5253193159246083,0.26814149312263313,1.2341442230590256,0.7581829863569126,5,3.742455903199659,0.7986352757779241,0.731789922603858
OLS,0.75,5000,0.0,0.276818830875816,0.3496426744136498,0.04714775874110137,1.2744969349538802,1.2739785107112238,0.07085945546611731,1.5043132936088273,0.2661830321936006,1.2263614732755561,0.750496938663173,5,7.415891735885348,0.7875863745374723,0.7278829317850968
OLS,0.9,500,0.6,1.0021473912777548,0.5560047461590016,0.3077090608329651,1.3222295876943235,1.2810232754287514,0.06757493187262577,1.4905381985466035,0.25992322062582424,1.2177772249283785,0.8957131667930446,5,1.8069170425268035,0.7790565652096146,0.720714872665695
OLS,0.9,2000,0.0,0.5020661194701642,0.43814066107186944,0.09722250574108178,1.3598416090492995,1.361748532566502,0.0703122989227978,1.5280943300100518,0.2651417098453491,1.2355728425561996,0.893481522053143,5,4.506576514687908,0.7992033144664248,0.7794174401949916
OLS,0.9,5000,0.0,0.3148753818238874,0.4029524294799012,0.06487610904086663,1.3569427469798763,1.3582483947675368,0.07093385485210897,1.4725828751065682,0.26632793305650304,1.2132547230148412,0.8944927876227871,5,6.211106606687435,0.7717583649793386,0.772082226554973
OLS,0.95,500,0.8,1.0495198190060269,0.3629678094297426,0.4756991058049521,1.3849777050369465,1.3671547870987175,0.07014083576925248,1.5526407550539472,0.26476902092035204,1.23934400422268,0.9391899659579688,5,0.76301974294349,0.8113907954115999,0.7831540663535577
OLS,0.95,2000,0.0,0.5185552107968012,0.48195384851780876,0.17994684257494273,1.3669884787978255,1.3698598305753131,0.07084694325329899,1.5345404788526065,0.26611825868261335,1.2378804369811984,0.9506650809020281,5,2.6783123372508673,0.8026937110529527,0.7862358039141835
OLS,0.95,5000,0.0,0.34020625739758187,0.4657117464458387,0.0895859696275182,1.399787145962899,1.3968245737106784,0.07013789133645448,1.5074564037932239,0.2648306845450281,1.2276284284051915,0.950931588980621,5,5.1984897677859765,0.7887971475648392,0.7964517792193356
OLS,0.98,500,1.0,1.1643613341305366,0.43086601856706386,0.18251758588870107,1.349910749827257,1.3592893993016086,0.07685779477085318,1.6991594005269945,0.2772276951956275,1.3029611871688902,0.9762248993278362,5,2.360682212999493,0.8880085976489238,0.8169509397600202
OLS,0.98,2000,0.0,0.5477839192092445,0.4938653550061676,0.09281897569626887,1.3890185611375758,1.4047178417819257,0.07151471785489502,1.5903865505658086,0.26740525573004126,1.2606153749976676,0.9832473212268462,5,5.320736964629313,0.8309506342103518,0.8155777475192922
OLS,0.98,5000,0.0,0.33652654453538944,0.42787021750598386,0.08814158061945629,1.4030282889036705,1.4034242262429286,0.07041959044267686,1.5186081330297967,0.2653621881243401,1.231551601433258,0.9800666791811279,5,4.854351538728093,0.7945138617362367,0.8022963115830519
OLS,0.99,500,1.0,1.254985284065075,0.43733454271005634,0.1399359056926126,1.371801739044757,1.3675205509346742,0.07295687892514904,1.613203594790479,0.26995616935737454,1.2696569404477018,0.9894265421438696,5,3.1252489526935174,0.8430802368578141,0.8006149317032354
OLS,0.99,2000,0.0,0.5515100868974399,0.4406996727220829,0.07734460845824165,1.4119876179487014,1.402379177519986,0.06966632412893188,1.5533284231815478,0.26393250205543956,1.246080075953424,0.9920396874124057,5,5.697871920316419,0.8114973736552399,0.8042385159625947
OLS,0.99,5000,0.0,0.3510312118074136,0.49274086649340143,0.05803113492816756,1.4245455256884505,1.4227558264029698,0.06989337818775374,1.5353318795707973,0.2643557195598349,1.2388377319239319,0.9905007011180373,5,8.490974148676031,0.8026126288792755,0.8142015795624572
Oracle,0.75,500,0.8,0.9745926640898581,0.14648603942054872,0.29162418362594084,3.811930530974054,3.940145761534492,0.0,0.0,0.0,0.0,0.7319414199801432,5,0.5023110141250932,0.0,0.0
Oracle,0.75,2000,1.0,0.47462564235059757,0.0709744667919503,0.10413654159987266,4.034566912156833,3.914504529314457,0.0,0.0,0.0,0.0,0.7453539747670449,5,0.6815519864742376,0.0,0.0
