dgp_type,n,target_overlap,sample_r2,learner,replication,theta_hat,se,ci_lower,ci_upper,ci_length,kappa_star,bias,coverage,rmse_m,rmse_l,mean_propensity,treatment_frac
binary,1000,0.99,0.14266387713025297,Lasso,0,1.2437081211503784,0.10003956830476846,1.0476305672730322,1.4397856750277247,0.39215510775469253,1.0425960209677245,0.24370812115037843,0,0.16140949740850366,1.183645357594713,0.6577015662833091,0.636
binary,1000,0.99,0.14235506434931824,Lasso,1,1.0795917359361,0.0933571587738198,0.8966117047394132,1.2625717671327867,0.36596006239337353,1.0250707836299358,0.07959173593610003,1,0.16323938487094214,1.1092576072323177,0.6507602667964693,0.644
binary,1000,0.99,0.15013512539770416,Lasso,2,1.0262260732409834,0.09856069417263466,0.8330471126626194,1.2194050338193474,0.38635792115672796,1.034973181865847,0.02622607324098336,1,0.16351682500829962,1.2367799801825314,0.659578465805861,0.661
binary,1000,0.99,0.14828304950678242,Lasso,3,1.2064172805525655,0.09226572973790803,1.0255764502662656,1.3872581108388653,0.36168166057259965,1.030924656294035,0.20641728055256547,0,0.16472630848377087,1.1656357212653425,0.6582685989239248,0.664
binary,1000,0.99,0.14959153819247037,Lasso,4,1.251268706917654,0.0997846629323584,1.0556907675702316,1.4468466462650764,0.3911558786948448,1.0313126439090832,0.251268706917654,0,0.16676685580494252,1.3370512524372429,0.6654288454185314,0.645
binary,1000,0.99,0.1434805633294098,RF_Tuned,0,0.8915340262362386,0.08634902498608053,0.7222899372635208,1.0607781152089564,0.3384881779454356,1.056901326735264,-0.10846597376376144,1,0.11587039436099238,0.7811144261938971,0.6485535362325411,0.666
binary,1000,0.99,0.14272299531242016,RF_Tuned,1,0.9484102867231823,0.08496243994576796,0.7818839044294771,1.1149366690168874,0.3330527645874103,1.0769160170295655,-0.05158971327681772,1,0.12171467476377475,0.8070345954422367,0.660642259420096,0.653
binary,1000,0.99,0.1459702949845129,RF_Tuned,2,1.1410381604707018,0.08080035321439785,0.9826694681704821,1.2994068527709217,0.31673738460043965,1.0949011201646373,0.14103816047070183,1,0.12205877578222903,0.8581490142927138,0.6494605938142417,0.648
binary,1000,0.99,0.1520045063508647,RF_Tuned,3,0.9120357051259682,0.08244931710349657,0.750435043603115,1.0736363666488216,0.3232013230457066,1.0735717506842777,-0.08796429487403179,1,0.12978160504845998,0.7894621680658263,0.6643251695812205,0.681
binary,1000,0.99,0.14602599228472327,RF_Tuned,4,0.9990403978092564,0.08825001504496,0.8260703683211348,1.172010427297378,0.34594005897624314,1.117758000935305,-0.0009596021907436469,1,0.12760458107203781,0.8411884759037829,0.6560816156443424,0.662
binary,1000,0.95,0.16477006485534407,Oracle,0,0.9587857201004079,0.0763696831538859,0.8091011411187915,1.108470299082024,0.2993691579632326,1.233895902999086,-0.04121427989959214,1,0.0,0.0,0.6689487114721057,0.653
binary,1000,0.95,0.17587186412929795,Oracle,1,0.9826658491052683,0.07109366946816524,0.8433222569476645,1.1220094412628723,0.2786871843152078,1.2165462796592108,-0.01733415089473167,1,0.0,0.0,0.6616378769018934,0.647
binary,1000,0.95,0.1621070895967133,Oracle,2,1.0858443728208267,0.07442478856163301,0.939971787240026,1.2317169584016274,0.2917451711616015,1.1813486883195148,0.08584437282082669,1,0.0,0.0,0.6721824741779802,0.662
binary,1000,0.95,0.16273553806144614,Oracle,3,0.9528763404118662,0.07289030654202884,0.8100113395894897,1.0957413412342427,0.28573000164475304,1.141466788811634,-0.047123659588133804,1,0.0,0.0,0.6645645788090082,0.675
binary,1000,0.95,0.16731596814584038,Oracle,4,1.099390151947577,0.0707250164127752,0.9607691197785376,1.2380111841166164,0.27724206433807874,1.1759914415325399,0.09939015194757705,1,0.0,0.0,0.6698688763021965,0.661
binary,1000,0.95,0.18560175861514996,OLS,0,1.0941832626409345,0.10056228973105318,0.8970811747680703,1.2912853505137987,0.3942041757457284,1.0638004656021827,0.09418326264093446,1,0.1726200982311474,1.1603194200912408,0.6614589062355304,0.672
